1,5513066,Pilar,Buenos Aires
1,9868870,Anta,Salta
0,3804221,Tigre,Buenos Aires
0,10457415,La Capital,San Luis
1,4060025,Vicente Lopez,Buenos Aires
0,6650378,Marcos Juarez,Cordoba
1,2132435,La Matanza,Buenos Aires
3,393938,Comuna 06,Ciudad Autonoma de Buenos Aires
1,9509550,Confluencia,Neuquen
1,10236936,Jachal,San Juan
1,4277592,Benito Juarez,Buenos Aires
1,3170997,Moreno,Buenos Aires
3,1783578,General San Martin,Buenos Aires
2,7746534,Paso de los Indios,Chubut
1,10355791,General Pedernera,San Luis
2,4427215,Coronel de Marina L. Rosales,Buenos Aires
3,1032388,Comuna 14,Ciudad Autonoma de Buenos Aires
1,11287868,Rosario,Santa Fe
3,5994710,Capital,Catamarca
0,11935939,Rio Chico,Tucuman
3,6543754,Cruz del Eje,Cordoba
3,10925517,La Capital,Santa Fe
1,11657638,Capital,Santiago del Estero
1,10293957,Rivadavia,San Juan
3,11950055,Capital,Tucuman
3,7329383,San Roque,Corrientes
0,249473,Comuna 04,Ciudad Autonoma de Buenos Aires
3,3421008,Quilmes,Buenos Aires
3,7154637,Capital,Corrientes
1,11302388,Rosario,Santa Fe
3,6103400,Capital,Cordoba
3,11819885,Cruz Alta,Tucuman
3,10196673,Capital,San Juan
3,5490870,Pergamino,Buenos Aires
0,5169066,La Plata,Buenos Aires
0,10239798,Jachal,San Juan
3,4386485,Capitan Sarmiento,Buenos Aires
1,7027359,Tercero Arriba,Cordoba
3,1270566,Almirante Brown,Buenos Aires
1,4032479,Vicente Lopez,Buenos Aires
3,4599001,Escobar,Buenos Aires
1,531574,Comuna 07,Ciudad Autonoma de Buenos Aires
0,10208632,Caucete,San Juan
3,10337646,Ayacucho,San Luis
0,11490108,San Lorenzo,Santa Fe
1,6471060,Capital,Cordoba
0,1349898,Avellaneda,Buenos Aires
3,11621654,Belgrano,Santiago del Estero
1,11205376,Rosario,Santa Fe
1,5342760,Monte,Buenos Aires
0,3782289,Tigre,Buenos Aires
1,4618064,Florentino Ameghino,Buenos Aires
2,9956967,Capital,Salta
2,11618022,Banda,Santiago del Estero
1,1287305,Almirante Brown,Buenos Aires
3,3784306,Tigre,Buenos Aires
0,10583762,Caseros,Santa Fe
1,3779315,Tigre,Buenos Aires
1,12152781,Yerba Buena,Tucuman
1,4798516,General Pueyrredon,Buenos Aires
1,6781415,Rio Cuarto,Cordoba
3,12082666,Capital,Tucuman
1,2026854,Jose C. Paz,Buenos Aires
3,10325428,Sarmiento,San Juan
1,1058010,Comuna 14,Ciudad Autonoma de Buenos Aires
3,2816295,Lomas de Zamora,Buenos Aires
1,1583811,Esteban Echeverria,Buenos Aires
3,6480459,Colon,Cordoba
3,6812865,Rio Cuarto,Cordoba
0,11296030,Rosario,Santa Fe
1,2720206,Lomas de Zamora,Buenos Aires
0,11036502,Rosario,Santa Fe
3,6178764,Capital,Cordoba
1,5330773,Mercedes,Buenos Aires
1,2889314,Lomas de Zamora,Buenos Aires
1,9081997,San Martin,Mendoza
